Neighborhood,Total population,number of educated people,number of 15-45,number of employers,long_latt,number_gyms,number_venues
Agincourt North,30280,19805,11850,13230,"[-79.2816161258827, 43.797405754163]",0,26
Agincourt South-Malvern West,21990,14535,8840,9860,"[-79.2891688527481, 43.7851873380096]",0,34
Alderwood,11900,7915,4520,6240,"[-79.5532040267975, 43.5954996876866]",1,17
Annex,29180,23495,15095,16770,"[-79.4121466573202, 43.6744312990078]",3,63
Banbury-Don Mills,26910,20555,9615,13030,"[-79.326504539789, 43.7325704244428]",2,14
Bathurst Manor,15435,10385,6115,7425,"[-79.430502667246, 43.7575784301813]",1,26
Bay Street Corridor,19345,16495,12800,10220,"[-79.3912583210563, 43.6606532521722]",1,96
Bayview Village,17675,13960,7900,8750,"[-79.3834514087178, 43.7640817777541]",3,37
Bayview Woods-Steeles,13535,10105,4675,5935,"[-79.3714520973767, 43.8045095069159]",0,18
Bedford Park-Nortown,23185,16330,8295,10945,"[-79.4274225674093, 43.7096042496363]",0,14
Beechborough-Greenbrook,6490,3585,2805,2790,"[-79.4647302913102, 43.692362616926]",0,25
Bendale,27870,18300,11460,12180,"[-79.2400495723641, 43.7466257573718]",0,13
Birchcliffe-Cliffside,21860,14975,7880,10925,"[-79.2698201397013, 43.6958383345337]",0,15
Black Creek,22060,11265,9380,8280,"[-79.5168068949797, 43.7709321923081]",0,16
Blake-Jones,7765,4980,3475,3805,"[-79.3354787855352, 43.6725854142185]",1,75
Briar Hill-Belgravia,14295,9600,6220,7585,"[-79.4400702000353, 43.7055855281681]",0,24
Bridle Path-Sunnybrook-York Mills,8715,6570,2840,4025,"[-79.4022194797677, 43.7441935625678]",1,15
Broadview North,11565,8055,5180,5805,"[-79.3630337935626, 43.683474326764404]",1,48
Brookhaven-Amesbury,17785,10145,7505,7860,"[-79.4770994524835, 43.7090878618258]",0,22
Cabbagetown-South St. James Town,12050,9595,5335,7155,"[-79.3713421467449, 43.6718887916088]",0,87
Caledonia-Fairbank,9855,5285,4240,4785,"[-79.4628934618934, 43.6889767313266]",0,26
Casa Loma,10485,8760,4320,6140,"[-79.4014550142353, 43.686640919782]",7,64
Centennial Scarborough,13100,9790,4800,6870,"[-79.1456260825496, 43.7697284079075]",0,9
Church-Yonge Corridor,28345,25065,17970,17795,"[-79.3830705117445, 43.6613720049663]",0,98
Clairlea-Birchmount,24775,16145,10450,11720,"[-79.2698075136083, 43.7016197049505]",0,24
Clanton Park,14610,10110,6030,7555,"[-79.4436682094965, 43.7311189337355]",2,58
Cliffcrest,15700,10505,5685,7190,"[-79.2252201206122, 43.7112728027011]",1,9
Corso Italia-Davenport,13735,8005,6170,6700,"[-79.4521351447371, 43.6720006802834]",1,64
Danforth,9450,6215,3995,4855,"[-79.3167143358462, 43.68877266712471]",0,45
Danforth East York,16710,11335,6940,9060,"[-79.3164905693791, 43.6943022597829]",0,21
Don Valley Village,26735,19700,11600,12325,"[-79.3662204557787, 43.790141293136706]",0,27
Dorset Park,24360,15435,9995,10715,"[-79.26826826942602, 43.7601505266218]",0,31
Dovercourt-Wallace Emerson-Junction,34635,21815,17335,18910,"[-79.4545074472216, 43.6616327757039]",2,89
Downsview-Roding-CFB,34650,19565,14360,15800,"[-79.5284311615202, 43.7193551775753]",0,13
Dufferin Grove,11450,8005,6020,6650,"[-79.4316412650605, 43.6527430564478]",0,99
East End-Danforth,20840,14275,8885,11045,"[-79.2849230873244, 43.6807253738272]",0,40
Edenbridge-Humber Valley,14945,10930,5390,7245,"[-79.51538605271371, 43.6586966281016]",1,26
Eglinton East,22830,13935,9220,9010,"[-79.2581798488883, 43.7422531679878]",0,11
Elms-Old Rexdale,9550,5470,3890,4065,"[-79.55307975439071, 43.7298315076541]",0,8
Englemount-Lawrence,22080,14080,8420,8965,"[-79.447423145596, 43.7250977242017]",3,74
